2007-08-01	510000	110.0	47241	236500	4.6	6.57
2007-09-01	365000	120.0	42387	240300	4.5	6.38
2007-10-01	373000	124.0	40395	234300	4.4	6.38
2007-11-01	343000	125.0	35259	249100	4.5	6.21
2007-12-01	320000	128.2	29938	227700	4.8	6.10
2008-01-01	235000	137.7	26409	232400	5.4	5.76
2008-02-01	262000	142.1	25540	245300	5.2	5.92
2008-03-01	316000	137.5	28934	229300	5.2	5.97
2008-04-01	364000	137.1	30404	246400	4.8	5.92
2008-05-01	403000	132.5	32098	229300	5.2	6.04
2008-06-01	421000	126.1	32676	234300	5.7	6.32
2008-07-01	418000	125.7	33086	237300	6.0	6.43
2008-08-01	409000	129.7	33903	221000	6.1	6.48
2008-09-01	369000	142.3	30735	225200	6.0	6.04
2008-10-01	349000	145.2	29977	213200	6.1	6.20
2008-11-01	273000	148.8	25535	221600	6.5	6.09
2008-12-01	305000	162.9	20961	229600	7.1	5.33
2009-01-01	218000	176.1	18331	208600	8.5	5.06
2009-02-01	238000	171.3	16775	209700	8.9	5.13
2009-03-01	304000	168.5	18504	205100	9.0	5.00
2009-04-01	349000	177.6	20207	219200	8.6	4.81
2009-05-01	376000	171.1	20116	222300	9.1	4.86
2009-06-01	438000	160.8	20918	214700	9.7	5.42
2009-07-01	442000	156.5	22440	214200	9.7	5.22
2009-08-01	417000	161.6	24154	207100	9.6	5.19
2009-09-01	392000	164.1	22260	216600	9.5	5.06
2009-10-01	418000	170.8	23848	215100	9.5	4.95
2009-11-01	395000	175.3	20724	218800	9.4	4.88
2009-12-01	347000	178.9	17636	222600	9.7	4.93
2010-01-01	234000	179.5	16732	218200	10.6	5.03
2010-02-01	258000	178.5	15349	221900	10.4	4.99
2010-03-01	366000	173.8	17970	224800	10.2	4.97
2010-04-01	443000	170.4	20854	208300	9.5	5.10
2010-05-01	449000	168.7	21530	230500	9.3	4.89
2010-06-01	472000	161.7	22191	219500	9.6	4.74
2010-07-01	331000	164.4	22184	212100	9.7	4.56
2010-08-01	352000	171.8	22486	226600	9.5	4.43
2010-09-01	321000	179.0	20825	228000	9.2	4.35
2010-10-01	307000	181.4	22525	204200	9.0	4.23
2010-11-01	304000	183.8	19636	219600	9.3	4.30
2010-12-01	345000	179.1	16539	241200	9.1	4.71
2011-01-01	247000	189.7	15586	240100	9.8	4.76
2011-02-01	253000	189.8	14899	220100	9.5	4.95
2011-03-01	347000	184.1	17266	220500	9.2	4.84
2011-04-01	375000	184.4	20016	224700	8.7	4.84
2011-05-01	391000	176.5	21360	222000	8.7	4.64
2011-06-01	440000	172.4	23034	240200	9.3	4.51
2011-07-01	385000	178.0	23107	229900	9.3	4.55
2011-08-01	429000	180.5	24368	219600	9.1	4.27
2011-09-01	369000	191.0	22543	217000	8.8	4.11
2011-10-01	343000	200.8	24050	224800	8.5	4.07
2011-11-01	335000	196.7	20418	214300	8.2	3.99
2011-12-01	349000	200.2	17485	218600	8.3	3.96
2012-01-01	260000	207.9	16588	221700	8.8	3.92
2012-02-01	287000	210.0	16306	239900	8.7	3.89
2012-03-01	360000	204.5	19028	239800	8.4	3.95
2012-04-01	400000	192.3	21976	236400	7.7	3.91
2012-05-01	448000	188.4	24438	239200	7.9	3.80
2012-06-01	463000	181.5	26315	232600	8.4	3.68
2012-07-01	430000	183.4	27199	237400	8.6	3.55
2012-08-01	476000	190.8	28013	253200	8.2	3.60
2012-09-01	372000	198.4	27761	254600	7.6	3.50
2012-10-01	401000	203.7	26866	247200	7.5	3.38
2012-11-01	385000	203.0	24685	245000	7.4	3.35
2012-12-01	374000	204.4	21083	258300	7.6	3.35
2013-01-01	291000	213.6	20550	251500	8.5	3.41
2013-02-01	304000	209.8	20028	265100	8.1	3.53
2013-03-01	387000	195.3	23397	257500	7.6	3.57
2013-04-01	454000	187.0	26228	279300	7.1	3.45
2013-05-01	514000	179.3	29647	263700	7.3	3.54
2013-06-01	500000	168.5	31967	259800	7.8	4.07
2013-07-01	519000	160.7	30513	262200	7.7	4.37
2013-08-01	518000	158.0	31064	255300	7.3	4.46
2013-09-01	427000	165.1	31688	269800	7.0	4.49
2013-10-01	424000	166.6	32360	264300	7.0	4.19
2013-11-01	362000	170.9	28783	277100	6.6	4.26
2013-12-01	387000	168.4	25697	269600	6.5	4.46
2014-01-01	281000	175.1	23881	260800	7.0	4.43
2014-02-01	283000	175.7	22851	261800	7.0	4.30
